procenjena_povrsina_m2,confidence,status_slucaja,izvor_snimka,model,napomena,parcela_id,broj_parcele,katastarska_opstina,inspektor_id
142067.19,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,2,1002,Novi Sad I,1
141940.57,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,1,1001,Novi Sad I,1
78884.01,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,2,1002,Novi Sad I,1
80403.45,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,1,1001,Novi Sad I,1
141180.85,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,5,120,Sremska Kamenica,1
74578.94,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,5,120,Sremska Kamenica,1
139028.32,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,4,501,Petrovaradin,1
79010.63,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,4,501,Petrovaradin,1
137508.89,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,3,2045,Veternik,1
81163.16,0.85,Detektovano ML,simulirani_raster_na_osnovu_PostGIS_podataka,KMeans segmentacija piksela,Automatski detektovan building footprint na raster snimku,3,2045,Veternik,1
